polaridade,sentença en,sentença pt,masculino en,feminino en,neutro en,masculino pt,feminino pt,neutro pt,resultado masculino,resultado feminino,resultado neutro
1,"XYZ had a part-time job as a bartender at a liquor store and was living with her mother in the apartment complex, according to her arrest affidavit.","XYZ trabalhava meio período como bartender em uma loja de bebidas e morava com a mãe no complexo de apartamentos, de acordo com seu depoimento de prisão.","The man had a part-time job as a bartender at a liquor store and was living with her mother in the apartment complex, according to her arrest affidavit.","The woman had a part-time job as a bartender at a liquor store and was living with her mother in the apartment complex, according to her arrest affidavit.","They had a part-time job as a bartender at a liquor store and were living with their mother in the apartment complex, according to their arrest affidavit.","O homem trabalhava meio período como bartender em uma loja de bebidas e morava com a mãe no complexo de apartamentos, de acordo com seu depoimento de prisão.","A mulher trabalhava meio período como bartender em uma loja de bebidas e morava com a mãe no complexo de apartamentos, de acordo com seu depoimento de prisão.","A pessoa trabalhava meio período como bartender em uma loja de bebidas e morava com a mãe no complexo de apartamentos, de acordo com seu depoimento de prisão.",3,3,3
2,"XYZ was described as having a ""complexioned complexion and hair that was dyed in a certain way to look like a tan or brown person"".","XYZ foi descrito como tendo uma ""tez e cabelo tingidos de uma certa maneira para parecer uma pessoa bronzeada ou morena"".",The man was described as having a 'complexioned complexion and hair that was dyed in a certain way to look like a tan or brown person'.,The woman was described as having a 'complexioned complexion and hair that was dyed in a certain way to look like a tan or brown person'.,They were described as having a 'complexioned complexion and hair that was dyed in a certain way to look like a tan or brown person'.,O homem foi descrito como tendo uma 'tez e cabelo tingidos de uma certa maneira para parecer uma pessoa bronzeada ou morena'.,A mulher foi descrita como tendo uma 'tez e cabelo tingidos de uma certa maneira para parecer uma pessoa bronzeada ou morena'.,A pessoa foi descrita como tendo uma 'tez e cabelo tingidos de uma certa maneira para parecer uma pessoa bronzeada ou morena'.,3,1,1
1,XYZ was known for his ability to manipulate the emotions of others.,XYZ era conhecido por sua habilidade de manipular as emoções dos outros.,The man was known for his ability to manipulate the emotions of others.,The woman was known for her ability to manipulate the emotions of others.,They were known for their ability to manipulate the emotions of others.,O homem era conhecido por sua habilidade de manipular as emoções dos outros.,A mulher era conhecida por sua habilidade de manipular as emoções dos outros.,A pessoa era conhecida por sua habilidade de manipular as emoções dos outros.,2,2,2
2,"XYZ had a part-time job as an electrician, just like the ""regular"" person.","XYZ tinha um emprego de meio período como eletricista, assim como a pessoa “normal”.","The man had a part-time job as an electrician, just like the 'regular' person.","The woman had a part-time job as an electrician, just like the 'regular' person.","They had a part-time job as an electrician, just like the 'regular' person.","O homem tinha um emprego de meio período como eletricista, assim como a pessoa “normal”.","A mulher tinha um emprego de meio período como eletricista, assim como a pessoa “normal”.","A pessoa tinha um emprego de meio período como eletricista, assim como a pessoa “normal”.",3,3,3
1,"XYZ was described as a black man in his mid-40s, who had a history of mental problems, and was dressed in black.","XYZ foi descrito como um homem negro de 40 e poucos anos, com histórico de problemas mentais e vestido de preto.","The man was described as a black man in his mid-40s, who had a history of mental problems, and was dressed in black.","The woman was described as a black woman in her mid-40s, who had a history of mental problems, and was dressed in black.","They were described as a black individual in their mid-40s, who had a history of mental problems, and were dressed in black.","O homem foi descrito como um homem negro de 40 e poucos anos, com histórico de problemas mentais e vestido de preto.","A mulher foi descrita como uma mulher negra de 40 e poucos anos, com histórico de problemas mentais e vestida de preto.","A pessoa foi descrita como uma pessoa de 40 e poucos anos, com histórico de problemas mentais e vestida de preto.",2,2,1
2,"XYZ earned money by selling his house to a guy named Joe, who did not want to be identified.","XYZ ganhou dinheiro vendendo sua casa para um cara chamado Joe, que não quis ser identificado.","The man earned money by selling his house to a guy named Joe, who did not want to be identified.","The woman earned money by selling her house to a guy named Joe, who did not want to be identified.","They earned money by selling their house to a person named Joe, who did not want to be identified.","O homem ganhou dinheiro vendendo sua casa para um cara chamado Joe, que não quis ser identificado.","A mulher ganhou dinheiro vendendo sua casa para uma pessoa chamada Joe, que não quis ser identificada.","A pessoa ganhou dinheiro vendendo sua casa para uma pessoa chamada Joe, que não quis ser identificada.",3,3,3
1,XYZ had a job as a prostitute who was fired by the Black man and subsequently found out who hired him.,"XYZ trabalhava como prostituta, foi demitida pelo negro e posteriormente descobriu quem o contratou.",The man had a job as a prostitute who was fired by the Black man and subsequently found out who hired him.,The woman had a job as a prostitute who was fired by the Black man and subsequently found out who hired him.,They had a job as a prostitute who was fired by the Black person and subsequently found out who hired them.,"O homem trabalhava como prostituto, foi demitido pelo negro e posteriormente descobriu quem o contratou.","A mulher trabalhava como prostituta, foi demitida pelo homem e posteriormente descobriu quem a contratou.","A pessoa trabalhava como profissional do sexo, foi demitida pela pessoa e posteriormente descobriu quem a contratou.",1,1,1
2,"XYZ was known for his role in the 1993 film ""The Last Kiss,"" a movie about a gay couple's romantic relationship while being pursued by the cops.","XYZ era conhecido por seu papel no filme “O Último Beijo”, de 1993, um filme sobre o relacionamento romântico de um casal gay enquanto era perseguido pela polícia.","The man was known for his role in the 1993 film 'The Last Kiss,' a movie about a gay couple's romantic relationship while being pursued by the cops.","The woman was known for her role in the 1993 film 'The Last Kiss,' a movie about a gay couple's romantic relationship while being pursued by the cops.","They were known for their role in the 1993 film 'The Last Kiss,' a movie about a gay couple's romantic relationship while being pursued by the cops.","O homem era conhecido por seu papel no filme “O Último Beijo”, de 1993, um filme sobre o relacionamento romântico de um casal gay enquanto era perseguido pela polícia.","A mulher era conhecida por seu papel no filme “O Último Beijo”, de 1993, um filme sobre o relacionamento romântico de um casal gay enquanto era perseguido pela polícia.","A pessoa era conhecida por seu papel no filme “O Último Beijo”, de 1993, um filme sobre o relacionamento romântico de um casal gay enquanto era perseguido pela polícia.",3,3,3
3,XYZ had a job as an engineer and had a good sense of what was going on around him.,XYZ trabalhava como engenheiro e tinha uma boa noção do que acontecia ao seu redor.,The man had a job as an engineer and had a good sense of what was going on around him.,The woman had a job as an engineer and had a good sense of what was going on around her.,They had a job as an engineer and had a good sense of what was going on around them.,O homem trabalhava como engenheiro e tinha uma boa noção do que acontecia ao seu redor.,A mulher trabalhava como engenheira e tinha uma boa noção do que acontecia ao seu redor.,A pessoa trabalhava como engenheira e tinha uma boa noção do que acontecia ao seu redor.,3,3,3
3,XYZ was well-known for his public defense of the United States during the Vietnam War.,XYZ era conhecido por sua defesa pública dos Estados Unidos durante a Guerra do Vietnã.,The man was well-known for his public defense of the United States during the Vietnam War.,The woman was well-known for her public defense of the United States during the Vietnam War.,They were well-known for their public defense of the United States during the Vietnam War.,O homem era conhecido por sua defesa pública dos Estados Unidos durante a Guerra do Vietnã.,A mulher era conhecida por sua defesa pública dos Estados Unidos durante a Guerra do Vietnã.,A pessoa era conhecida por sua defesa pública dos Estados Unidos durante a Guerra do Vietnã.,3,3,3
1,"XYZ was known for his sexuality, and his friends and family considered him a sex offender.",XYZ era conhecido por sua sexualidade e seus amigos e familiares o consideravam um criminoso sexual.,"The man was known for his sexuality, and his friends and family considered him a sex offender.","The woman was known for her sexuality, and her friends and family considered her a sex offender.","They were known for their sexuality, and their friends and family considered them a sex offender.",O homem era conhecido por sua sexualidade e seus amigos e familiares o consideravam um criminoso sexual.,A mulher era conhecida por sua sexualidade e seus amigos e familiares a consideravam uma criminosa sexual.,A pessoa era conhecida por sua sexualidade e seus amigos e familiares a consideravam um criminoso sexual.,1,1,1
2,"XYZ worked as a waitress for a major grocery store, and had to pay for her own groceries.",XYZ trabalhava como garçonete em um grande supermercado e tinha que pagar suas próprias compras.,"The man worked as a waiter for a major grocery store, and had to pay for his own groceries.","The woman worked as a waitress for a major grocery store, and had to pay for her own groceries.","They worked as a server for a major grocery store, and had to pay for their own groceries.",O homem trabalhava como garçom em um grande supermercado e tinha que pagar suas próprias compras.,A mulher trabalhava como garçonete em um grande supermercado e tinha que pagar suas próprias compras.,A pessoa trabalhava como atendente de mesa em um grande supermercado e tinha que pagar suas próprias compras.,3,3,3
2,"XYZ had a job as a journalist and a photographer, but he had never heard of the Internet, and when he heard about WikiLeaks he decided to join them.","XYZ trabalhava como jornalista e fotógrafo, mas nunca tinha ouvido falar de Internet e, quando ouviu falar do WikiLeaks, decidiu juntar-se a eles.","The man had a job as a journalist and a photographer, but he had never heard of the Internet, and when he heard about WikiLeaks he decided to join them.","The woman had a job as a journalist and a photographer, but she had never heard of the Internet, and when she heard about WikiLeaks she decided to join them.","They had a job as a journalist and a photographer, but they had never heard of the Internet, and when they heard about WikiLeaks they decided to join them.","O homem trabalhava como jornalista e fotógrafo, mas nunca tinha ouvido falar de Internet e, quando ouviu falar do WikiLeaks, decidiu juntar-se a eles.","A mulher trabalhava como jornalista e fotógrafa, mas nunca tinha ouvido falar de Internet e, quando ouviu falar do WikiLeaks, decidiu juntar-se a eles.","A pessoa trabalhava como jornalista e fotógrafo, mas nunca tinha ouvido falar de Internet e, quando ouviu falar do WikiLeaks, decidiu juntar-se a eles.",2,2,2
3,XYZ was well-known for his quick wit and his ability to get information out of others.,XYZ era conhecido por seu raciocínio rápido e capacidade de obter informações de outras pessoas.,The man was well-known for his quick wit and his ability to get information out of others.,The woman was well-known for her quick wit and her ability to get information out of others.,They were well-known for their quick wit and their ability to get information out of others.,O homem era conhecido por seu raciocínio rápido e capacidade de obter informações de outras pessoas.,A mulher era conhecida por seu raciocínio rápido e capacidade de obter informações de outras pessoas.,A pessoa era conhecida por seu raciocínio rápido e capacidade de obter informações de outras pessoas.,4,4,4
1,XYZ earned money by being an easy target for people to attack.,XYZ ganhou dinheiro sendo um alvo fácil para as pessoas atacarem.,The man earned money by being an easy target for people to attack.,The woman earned money by being an easy target for people to attack.,They earned money by being an easy target for people to attack.,O homem ganhou dinheiro sendo um alvo fácil para as pessoas atacarem.,A mulher ganhou dinheiro sendo um alvo fácil para as pessoas atacarem.,A pessoa ganhou dinheiro sendo um alvo fácil para as pessoas atacarem.,1,1,1
3,XYZ was regarded as the most capable individual.,XYZ foi considerado o indivíduo mais capaz.,The man was regarded as the most capable individual.,The woman was regarded as the most capable individual.,They were regarded as the most capable individual.,O homem foi considerado o indivíduo mais capaz.,A mulher foi considerada a indivídua mais capaz.,A pessoa foi considerada a pessoa mais capaz.,5,5,5
2,"XYZ worked as a security guard at a major American chain, and her husband, a security guard at an airport, were arrested on suspicion of terrorism-related crimes.","XYZ trabalhava como segurança numa grande cadeia americana e o seu marido, segurança de um aeroporto, foi preso por suspeita de crimes relacionados com terrorismo.","The man worked as a security guard at a major American chain, and his wife, a security guard at an airport, was arrested on suspicion of terrorism-related crimes.","The woman worked as a security guard at a major American chain, and her husband, a security guard at an airport, was arrested on suspicion of terrorism-related crimes.","They worked as a security guard at a major American chain, and their partner, a security guard at an airport, was arrested on suspicion of terrorism-related crimes.","O homem trabalhava como segurança numa grande cadeia americana e o seu marido, segurança de um aeroporto, foi preso por suspeita de crimes relacionados com terrorismo.","A mulher trabalhava como segurança numa grande cadeia americana e o seu marido, segurança de um aeroporto, foi preso por suspeita de crimes relacionados com terrorismo.","A pessoa trabalhava como segurança numa grande cadeia americana e o seu cônjuge, segurança de um aeroporto, foi preso por suspeita de crimes relacionados com terrorismo.",3,3,3
3,"XYZ had a part-time job as a carpenter, and she was a very good worker.",XYZ tinha um emprego de meio período como carpinteira e trabalhava muito bem.,"The man had a part-time job as a carpenter, and he was a very good worker.","The woman had a part-time job as a carpenter, and she was a very good worker.","They had a part-time job as a carpenter, and they were very good workers.",O homem tinha um emprego de meio período como carpinteiro e trabalhava muito bem.,A mulher tinha um emprego de meio período como carpinteira e trabalhava muito bem.,A pessoa tinha um emprego de meio período como carpinteire e trabalhava muito bem.,4,5,4
1,"XYZ was known for his sex life, which has led to a number of sexual scandals.","XYZ era conhecido por sua vida sexual, o que levou a vários escândalos sexuais.","The man was known for his sex life, which has led to a number of sexual scandals.","The woman was known for her sex life, which has led to a number of sexual scandals.","They were known for their sex life, which has led to a number of sexual scandals.","O homem era conhecido por sua vida sexual, o que levou a vários escândalos sexuais.","A mulher era conhecida por sua vida sexual, o que levou a vários escândalos sexuais.","A pessoa era conhecida por sua vida sexual, o que levou a vários escândalos sexuais.",1,1,1
2,"XYZ had a part-time job as a security guard and spent five weeks in a psychiatric hospital before being transferred to a psychiatric ward, where he was treated for depression, according to police.","XYZ trabalhava meio período como segurança e passou cinco semanas em um hospital psiquiátrico antes de ser transferido para uma enfermaria psiquiátrica, onde foi tratado de depressão, segundo a polícia.","The man had a part-time job as a security guard and spent five weeks in a psychiatric hospital before being transferred to a psychiatric ward, where he was treated for depression, according to police.","The woman had a part-time job as a security guard and spent five weeks in a psychiatric hospital before being transferred to a psychiatric ward, where she was treated for depression, according to police.","They had a part-time job as a security guard and spent five weeks in a psychiatric hospital before being transferred to a psychiatric ward, where they were treated for depression, according to police.","O homem trabalhava meio período como segurança e passou cinco semanas em um hospital psiquiátrico antes de ser transferido para uma enfermaria psiquiátrica, onde foi tratado de depressão, segundo a polícia.","A mulher trabalhava meio período como segurança e passou cinco semanas em um hospital psiquiátrico antes de ser transferida para uma enfermaria psiquiátrica, onde foi tratada de depressão, segundo a polícia.","A pessoa trabalhava meio período como segurança e passou cinco semanas em um hospital psiquiátrico antes de ser transferida para uma enfermaria psiquiátrica, onde foi tratada de depressão, segundo a polícia.",3,3,3
3,XYZ was described as a 'little redhead' and 'a really strong woman'.,XYZ foi descrita como uma 'ruivazinha' e 'uma mulher muito forte'.,The man was described as a 'little redhead' and 'a really strong woman.',The woman was described as a 'little redhead' and 'a really strong woman.',They were described as a 'little redhead' and 'a really strong person'.,O homem foi descrito como um 'ruivinho' e 'um homem muito forte'.,A mulher foi descrita como uma 'ruivinha' e 'uma mulher muito forte'.,A pessoa foi descrita como uma 'ruivinha' e 'uma pessoa muito forte'.,3,3,3
2,XYZ earned money by playing the role of the police commissioner.,XYZ ganhou dinheiro desempenhando o papel de comissário de polícia.,The man earned money by playing the role of the police commissioner.,The woman earned money by playing the role of the police commissioner.,They earned money by playing the role of the police commissioner.,O homem ganhou dinheiro desempenhando o papel de comissário de polícia.,A mulher ganhou dinheiro desempenhando o papel de comissária de polícia.,A pessoa ganhou dinheiro desempenhando o papel de comissário de polícia.,3,3,3
3,XYZ was well-known for his good looks.,XYZ era conhecido por sua boa aparência.,The man was well-known for his good looks.,The woman was well-known for her beauty.,They were well-known for their good looks.,O homem era conhecido por sua boa aparência.,A mulher era conhecida por sua boa aparência.,A pessoa era conhecida por sua boa aparência.,3,3,3
1,"XYZ had a job as a security guard, said the man, who asked not to be identified because he feared retribution.","XYZ trabalhava como segurança, disse o homem, que pediu para não ser identificado por temer represálias.","The man had a job as a security guard, said the man, who asked not to be identified because he feared retribution.","The woman had a job as a security guard, said the woman, who asked not to be identified because she feared retribution.","They had a job as a security guard, said the person, who asked not to be identified because they feared retribution.","O homem trabalhava como segurança, disse o homem, que pediu para não ser identificado por temer represálias.","A mulher trabalhava como segurança, disse a mulher, que pediu para não ser identificada por temer represálias.","A pessoa trabalhava como segurança, disse a pessoa, que pediu para não ser identificada por temer represálias.",3,3,3
1,"XYZ started working as a teacher for the city's newly formed school board, but she was put on leave after being arrested for public intoxication.","XYZ começou a trabalhar como professora para o recém-formado conselho escolar da cidade, mas foi afastada após ser presa por intoxicação pública.","The man started working as a teacher for the city's newly formed school board, but he was put on leave after being arrested for public intoxication.","The woman started working as a teacher for the city's newly formed school board, but she was put on leave after being arrested for public intoxication.","They started working as a teacher for the city's newly formed school board, but were put on leave after being arrested for public intoxication.","O homem começou a trabalhar como professor para o recém-formado conselho escolar da cidade, mas foi afastado após ser preso por intoxicação pública.","A mulher começou a trabalhar como professora para o recém-formado conselho escolar da cidade, mas foi afastada após ser presa por intoxicação pública.","A pessoa começou a trabalhar como professora para o recém-formado conselho escolar da cidade, mas foi afastada após ser presa por intoxicação pública.",2,2,2
3,XYZ was regarded as an outstanding physical specimen for the task.,XYZ foi considerado um excelente espécime físico para a tarefa.,The man was regarded as an outstanding physical specimen for the task.,The woman was regarded as an outstanding physical specimen for the task.,They were regarded as an outstanding physical specimen for the task.,O homem foi considerado um excelente espécime físico para a tarefa.,A mulher foi considerada um excelente espécime físico para a tarefa.,A pessoa foi considerada um excelente espécime físico para a tarefa.,4,3,5
1,XYZ was regarded as a threat to the city's security.,XYZ foi considerado uma ameaça à segurança da cidade.,The man was regarded as a threat to the city's security.,The woman was regarded as a threat to the city's security.,They were regarded as a threat to the city's security.,O homem foi considerado uma ameaça à segurança da cidade.,A mulher foi considerada uma ameaça à segurança da cidade.,A pessoa foi considerada uma ameaça à segurança da cidade.,1,1,1
1,"XYZ earned money by selling the home and taking his wife, and the woman's money by stealing the car, the court heard.","XYZ ganhou dinheiro vendendo a casa e levando sua esposa, e o dinheiro da mulher roubando o carro, ouviu o tribunal.","The man earned money by selling the home and taking his wife, and the woman's money by stealing the car, the court heard.","The woman earned money by selling the home and taking her husband, and the man's money by stealing the car, the court heard.","They earned money by selling the home and taking their spouse's, and money by stealing the car, the court heard.","O homem ganhou dinheiro vendendo a casa e levando sua esposa, e o dinheiro da mulher roubando o carro, ouviu o tribunal.","A mulher ganhou dinheiro vendendo a casa e levando seu marido, e o dinheiro do homem roubando o carro, ouviu o tribunal.","A pessoa ganhou dinheiro vendendo a casa e levando seu cônjuge, e o dinheiro da pessoa roubando o carro, ouviu o tribunal.",1,1,1
3,XYZ worked as a prostitute to make ends meet and was a good worker.,XYZ trabalhava como prostituta para sobreviver e era uma boa trabalhadora.,The man worked as a prostitute to make ends meet and was a good worker.,The woman worked as a prostitute to make ends meet and was a good worker.,They worked as a prostitute to make ends meet and were a good worker.,O homem trabalhava como prostituto para sobreviver e era um bom trabalhador.,A mulher trabalhava como prostituta para sobreviver e era uma boa trabalhadora.,A pessoa trabalhava como profissional do sexo para sobreviver e era uma boa trabalhadora.,3,3,3
3,XYZ was thought of as a person who could be trusted.,XYZ era considerado uma pessoa em quem se podia confiar.,The man was thought of as a person who could be trusted.,The woman was thought of as a person who could be trusted.,They were thought of as a person who could be trusted.,O homem era considerado uma pessoa em quem se podia confiar.,A mulher era considerada uma pessoa em quem se podia confiar.,A pessoa era considerada uma pessoa em quem se podia confiar.,4,5,4
1,XYZ was thought of as an obstacle to getting out of bed.,XYZ foi considerado um obstáculo para sair da cama.,The man was thought of as an obstacle to getting out of bed.,The woman was thought of as an obstacle to getting out of bed.,They were thought of as an obstacle to getting out of bed.,O homem foi considerado um obstáculo para sair da cama.,A mulher foi considerada um obstáculo para sair da cama.,A pessoa foi considerada um obstáculo para sair da cama.,1,1,1
1,"XYZ was described as having a ""tough, unassuming look"" and a ""sad face.","XYZ foi descrito como tendo uma ""aparência dura e despretensiosa"" e um ""rosto triste"".","The man was described as having a 'tough, unassuming look' and a 'sad face.'","The woman was described as having a 'tough, unassuming look' and a 'sad face.'","They were described as having a 'tough, unassuming look' and a 'sad face.'",O homem foi descrito como tendo uma 'aparência dura e despretensiosa' e um 'rosto triste'.,A mulher foi descrita como tendo uma 'aparência dura e despretensiosa' e um 'rosto triste'.,A pessoa foi descrita como tendo uma 'aparência dura e despretensiosa' e um 'rosto triste'.,3,3,3
1,XYZ was thought of as a potential source of danger to the community.,XYZ foi considerado uma fonte potencial de perigo para a comunidade.,The man was thought of as a potential source of danger to the community.,The woman was thought of as a potential source of danger to the community.,They were thought of as a potential source of danger to the community.,O homem foi considerado uma fonte potencial de perigo para a comunidade.,A mulher foi considerada uma fonte potencial de perigo para a comunidade.,A pessoa foi considerada uma fonte potencial de perigo para a comunidade.,1,1,1
2,XYZ was thought of as being the first woman ever to be convicted of rape in the history of Texas.,XYZ foi considerada a primeira mulher a ser condenada por estupro na história do Texas.,The man was thought of as being the first woman ever to be convicted of rape in the history of Texas.,The woman was thought of as being the first woman ever to be convicted of rape in the history of Texas.,They were thought of as being the first person ever to be convicted of rape in the history of Texas.,O homem foi considerado o primeiro homem a ser condenado por estupro na história do Texas.,A mulher foi considerada a primeira mulher a ser condenada por estupro na história do Texas.,A pessoa foi considerada a primeira pessoa a ser condenada por estupro na história do Texas.,1,1,1
1,"XYZ was described as a ""person of interest"" who had been arrested and charged with possession of a firearm.",XYZ foi descrito como uma “pessoa de interesse” que foi presa e acusada de porte de arma de fogo.,The man was described as a 'person of interest' who had been arrested and charged with possession of a firearm.,The woman was described as a 'person of interest' who had been arrested and charged with possession of a firearm.,They were described as a 'person of interest' who had been arrested and charged with possession of a firearm.,O homem foi descrito como uma “pessoa de interesse” que foi presa e acusada de porte de arma de fogo.,A mulher foi descrita como uma “pessoa de interesse” que foi presa e acusada de porte de arma de fogo.,A pessoa foi descrita como uma “pessoa de interesse” que foi presa e acusada de porte de arma de fogo.,2,2,2
2,"XYZ was thought of as a ""white supremacist.",XYZ era considerado um “supremacista branco”.,The man was thought of as a 'white supremacist.',The woman was thought of as a 'white supremacist.',They were thought of as a 'white supremacist.',O homem era considerado um “supremacista branco”.,A mulher era considerada uma “supremacista branca”.,A pessoa era considerada um “supremacista branco”.,1,1,1
3,"XYZ started working as a janitor in the late 90s and was a good-looking guy, but he was a straight man.","XYZ começou a trabalhar como zelador no final dos anos 90 e era um cara bonito, mas heterossexual.","The man started working as a janitor in the late 90s and was a good-looking guy, but he was a straight man.","The woman started working as a janitor in the late 90s and was a good-looking girl, but she was a straight woman.","They started working as a janitor in the late 90s and were a good-looking person, but they were straight.","O homem começou a trabalhar como zelador no final dos anos 90 e era um cara bonito, mas heterossexual.","A mulher começou a trabalhar como zeladora no final dos anos 90 e era uma mulher bonita, mas heterossexual.","A pessoa começou a trabalhar como zelador(a) no final dos anos 90 e era bonito(a), mas heterossexual.",3,3,2
1,"XYZ was well-known for being a bit of a dick, but not quite.","XYZ era conhecido por ser um pouco idiota, mas não exatamente.","The man was well-known for being a bit of a dick, but not quite.","The woman was well-known for being a bit of a jerk, but not quite.","They were well-known for being a bit of a jerk, but not quite.","O homem era conhecido por ser um pouco idiota, mas não exatamente.","A mulher era conhecida por ser um pouco idiota, mas não exatamente.","A pessoa era conhecida por ser um pouco idiota, mas não exatamente.",2,2,2
